year_built,stories,num_bedrooms,full_bathrooms,half_bathrooms,livable_sqft,total_sqft,garage_type,garage_sqft,carport_sqft,has_fireplace,has_pool,has_central_heating,has_central_cooling,house_number,street_name,unit_number,city,zip_code,sale_price
1989,1,3,1,0,1031,1031,attached,323,0,False,False,True,True,521,Anthony Mountains,,Lake Christinaport,11203,126001.0
1953,1,1,0,1,327,505,none,0,0,False,False,False,False,522,Schultz Radial,,Lake Christinaport,11203,352804.0
1958,1,2,2,0,1455,1856,none,0,213,False,False,False,False,522,Schultz Radial,,Lake Christinaport,11203,352799.0
1958,1,3,1,0,1487,1905,detached,233,0,False,False,False,False,522,Schultz Radial,,Lake Christinaport,11203,352800.0
1968,1,2,2,0,1387,2557,none,0,624,False,False,True,True,522,Schultz Radial,,Lake Christinaport,11203,352800.0
2006,1,3,2,0,2088,2436,attached,576,0,True,False,True,True,222,Taylor Mills,,Lake Christinaport,11203,233097.0
2005,1,3,2,0,1898,2139,attached,716,0,True,False,True,True,1945,Dylan Port,,Lake Christinaport,11203,270901.0
1991,1,2,2,0,1242,1250,none,0,832,False,False,True,True,7125,Sanders Inlet,3882.0,Lake Christinaport,11203,42840.0
2005,1,3,2,1,2744,3015,attached,687,0,True,True,True,True,6000,Angela Harbor,,Lake Christinaport,11203,459898.0
1955,1,1,0,1,813,980,detached,700,0,False,False,False,False,624,William Valley,,Lake Christinaport,11203,126001.0
2008,1,4,3,0,2395,2516,attached,448,0,True,False,True,True,136,Patricia Crescent,,Lake Christinaport,11203,239401.0
1960,1,2,2,0,2190,3046,none,0,319,True,False,False,False,45384,Anthony Mountains,,Lake Christinaport,11203,100803.0
1980,2,2,1,1,1423,1531,attached,451,0,True,True,True,True,5837,Samantha Park,,Lewishaven,11980,362252.0
1978,1,2,2,0,1419,2004,attached,621,0,False,False,True,True,3323,Samantha Park,,Lewishaven,11980,522899.0
1978,1,2,2,0,1623,2567,attached,554,0,True,False,True,True,997,Shawn Tunnel,,Lewishaven,11980,932401.0
1975,1,2,1,1,1163,1530,none,0,257,False,False,True,True,600,Randall Divide,,Lewishaven,11980,308703.0
1976,1,2,2,0,1251,1806,detached,409,379,False,False,True,True,3576,Erica Stravenue,,Lewishaven,11980,367919.0
1975,2,2,2,1,1853,2143,none,0,241,False,False,True,True,28870,Webb Burg,,Lewishaven,11980,351540.0
1975,2,2,2,1,1858,2141,none,0,243,False,False,True,True,73102,Cook Islands,,Lewishaven,11980,378002.0
1999,1,4,3,1,4434,4651,attached,773,0,True,True,True,True,81660,Robinson Summit,,Lewishaven,11980,1669497.0
1982,1,2,1,1,1280,1530,detached,385,338,False,False,True,True,37116,Rebecca Manor,,Lewishaven,11980,269640.0
1984,1,1,1,1,1444,1727,attached,484,0,True,False,True,True,5054,Kevin Radial,,Lewishaven,11980,365399.0
1976,1,2,2,0,1258,1806,detached,376,323,False,False,True,True,60673,Erica Stravenue,,Lewishaven,11980,516597.0
1957,1,4,3,1,2315,3468,attached,671,0,True,True,True,True,130,Alexis Unions,,Lewishaven,11980,825301.0
1958,1,4,3,1,2308,3457,attached,670,0,True,True,True,True,130,Alexis Unions,,Lewishaven,11980,868139.0
1989,1,4,3,0,2802,2794,attached,604,0,True,True,True,True,444,White Ferry,,Lewishaven,11980,818996.0
1989,1,5,4,0,3747,3746,attached,603,0,True,True,True,True,6737,Moore Loop,,Lewishaven,11980,900897.0
1980,1,2,2,0,1340,1340,none,0,683,False,False,True,True,25991,Karen Extension,,Lake Christinaport,11549,44101.0
1972,1,2,1,0,896,1148,none,0,374,False,False,True,True,98922,Smith Turnpike,,Lake Christinaport,11549,37797.0
1973,1,2,1,0,1154,1148,none,0,531,False,False,True,True,33,Michael Gateway,,Lake Christinaport,11549,28981.0
1966,1,2,1,0,994,991,none,0,812,False,False,True,True,357,Paul Garden,,Lake Christinaport,11549,41578.0
1977,1,3,1,1,1595,1843,attached,463,0,True,False,True,True,98112,Wilson Port,,Lewishaven,11980,340199.0
1975,1,2,1,1,1183,1184,detached,276,231,False,False,True,True,3380,Wilson Port,,Lewishaven,11980,283499.0
1978,1,3,2,0,1653,1963,attached,437,0,False,False,True,True,8385,Gonzalez Skyway,,Lewishaven,11980,321304.0
1973,2,2,2,0,1208,1233,none,0,0,False,False,True,True,15623,Cortez Neck,,Lewishaven,11980,180183.0
1978,1,3,2,0,1649,1960,attached,439,0,False,False,True,True,20666,Lopez Crossing,,Lewishaven,11980,239404.0
1983,1,3,3,1,3153,3162,attached,582,0,True,True,True,True,81505,Steven Hollow,,Lewishaven,11980,1079819.0
1977,1,2,2,0,1321,1642,detached,443,0,False,False,True,True,23128,Stephanie Parkways,,Lewishaven,11980,217349.0
1974,1,3,1,1,1634,2189,none,0,0,True,False,True,True,64831,Kelsey Lodge,,Lewishaven,11980,390604.0
2005,1,5,3,0,2126,2156,attached,485,0,True,False,True,True,9282,Barber Forges,,Clarkberg,11084,308697.0
2001,1,3,1,1,1400,1399,attached,442,0,True,False,True,True,370,Nicole Circles,,Clarkberg,11084,264600.0
1999,1,3,1,1,1280,1280,attached,450,0,False,False,True,True,8304,Nicole Circles,,Clarkberg,11084,258298.0
2002,1,4,2,0,1455,1451,attached,443,0,False,False,True,True,8095,John Turnpike,,Clarkberg,11084,135449.0
1950,1,1,1,0,515,1070,none,0,0,True,False,False,False,5036,John Turnpike,,Clarkberg,11084,88200.0
1987,1,2,1,0,1014,1008,none,0,0,False,False,True,True,4569,Wood Lodge,,Clarkberg,11084,83156.0
1987,1,2,1,0,1009,1002,none,0,0,False,False,True,True,4569,Wood Lodge,,Clarkberg,11084,211680.0
2014,1,4,2,0,1883,2136,attached,527,0,True,False,True,True,58556,Lopez Trail,,Clarkberg,11084,340198.0
1975,1,3,1,1,995,1004,attached,484,0,True,False,True,True,506,David Radial,,Chadstad,10272,350276.0
1986,1,2,1,1,1317,1565,none,0,0,True,True,True,True,66638,Peter Cove,,Lake Christinaport,11549,200341.0
1965,1,2,1,1,1555,2518,none,0,0,True,False,False,True,7063,Lee Shoal,,Lake Christinaport,11549,75602.0
2002,1,3,2,0,1788,1780,detached,488,0,False,False,True,True,1333,Courtney Track,,Lake Christinaport,11549,258301.0
1993,1,3,3,1,2232,2339,detached,598,0,True,False,True,True,4315,Miles Stream,,West Ann,10748,590937.0
1993,1,3,2,1,2034,2035,attached,439,0,True,False,True,True,389,Miles Stream,,West Ann,10748,679144.0
1999,1,3,1,1,2036,2035,attached,498,0,True,True,True,True,17236,Nicole Circles,,West Ann,10748,577076.0
1973,1,3,2,1,2280,2912,attached,550,0,True,False,True,True,8351,Gomez Inlet,,West Ann,10748,434700.0
1978,1,3,2,1,2454,3203,detached,596,0,True,False,True,True,57063,Scott Road,,West Ann,10748,396902.0
1973,1,3,2,1,2401,2892,attached,526,0,True,True,True,True,143,Sanchez Loaf,,West Ann,10748,656460.0
1983,1,2,1,1,1735,1852,attached,404,0,True,False,True,True,19420,Ronald Dale,,West Ann,10748,264604.0
1988,2,3,2,1,1799,1810,attached,445,0,True,True,True,True,4168,Denise Ridges,,West Ann,10748,386819.0
1981,1,3,1,1,1415,1470,attached,444,0,False,True,True,True,6948,Paula Mews,,Lake Christinaport,11203,123476.0
1977,1,2,1,1,1298,1478,attached,423,0,False,True,True,True,535,Anthony Squares,,Lake Christinaport,11203,170098.0
2007,1,4,2,0,1871,1881,attached,472,0,True,False,True,True,338,Maldonado Inlet,,Lake Christinaport,11203,245699.0
2002,1,3,2,1,2462,2851,attached,444,0,True,True,True,True,95064,Holland Street,,West Ann,10748,503998.0
1994,1,4,2,1,3315,3319,attached,600,0,True,True,True,True,28647,Bryan Land,,West Ann,10748,608580.0
2000,1,4,2,1,3012,3342,attached,638,0,True,True,True,True,54088,Dominguez Via,,West Ann,10748,995404.0
2005,1,3,1,1,1598,1677,attached,419,0,False,False,True,True,1873,Stewart Grove,,Lake Christinaport,11203,207902.0
2003,1,3,2,0,1293,1330,attached,430,0,True,False,True,True,82164,Lori Burgs,,Lake Christinaport,11203,176400.0
1990,1,5,4,0,2381,2588,attached,838,0,False,False,True,True,365,Jessica Shoals,,Lake Christinaport,11203,226801.0
2005,1,3,2,0,1615,1609,attached,470,0,True,False,True,True,78716,Long Heights,,Lake Christinaport,11203,207273.0
2005,1,3,2,0,1733,1821,attached,548,0,True,False,True,True,5197,Long Heights,,Lake Christinaport,11203,189002.0
2003,1,3,2,0,1318,1345,attached,434,0,True,True,True,True,61626,Simpson Knolls,,Lake Christinaport,11203,248846.0
2004,1,3,2,0,1539,1599,attached,461,0,True,False,True,True,41047,Aguilar Causeway,,Lake Christinaport,11203,220500.0
2009,1,6,5,0,3085,3089,attached,1100,0,False,False,True,True,902,Taylor Lakes,,Lake Christinaport,11203,280346.0
2006,1,6,4,0,2835,3161,attached,950,0,False,False,True,True,64145,Martinez Station,,Lake Christinaport,11203,258296.0
1991,1,3,2,0,1572,1568,attached,457,0,False,False,True,True,6809,Allen Plain,,Lake Christinaport,11203,195297.0
2004,1,3,1,1,1639,1724,attached,493,0,True,False,True,True,99099,Jennifer Key,,Lake Christinaport,11203,220503.0
2005,1,4,2,0,1657,1722,attached,407,0,True,False,True,True,343,Jennifer Key,,Lake Christinaport,11203,195300.0
1960,1,3,2,0,1178,1582,attached,243,0,False,False,False,False,33160,Cody Ways,,Lake Christinaport,11203,125997.0
1981,1,3,1,1,1198,1390,attached,477,0,False,False,True,True,57300,Michael Drive,,Lake Christinaport,11203,165058.0
1963,1,2,1,0,1040,1165,attached,239,0,False,False,True,True,191,Michael Drive,,Lake Christinaport,11203,93238.0
1957,1,2,1,1,1065,1474,none,0,525,False,False,True,True,82212,Aaron Prairie,,Lake Christinaport,11203,50402.0
2007,1,3,1,1,1561,1597,attached,525,0,False,False,True,True,24,Aaron Prairie,,Lake Christinaport,11203,161276.0
1957,1,2,1,0,706,1194,none,0,0,False,True,False,False,698,Wanda Crest,,Lake Christinaport,11203,116553.0
2005,1,6,4,0,2583,2587,attached,859,0,False,False,True,True,593,Wanda Crest,,Lake Christinaport,11203,183330.0
1977,1,2,1,0,845,916,detached,477,0,False,False,True,False,91797,Kurt Crescent,,Lake Christinaport,11203,94502.0
1964,1,2,1,1,1566,2130,none,0,0,False,False,True,True,191,Jones Crescent,1822.0,Lewishaven,11980,464313.0
1955,1,2,1,0,956,1497,attached,295,0,False,True,True,True,6063,Veronica Fall,,Lewishaven,11980,226797.0
1956,1,3,2,0,1638,1881,attached,170,0,False,False,True,True,8481,Kristin Crossroad,,Lewishaven,11980,360363.0
2006,1,6,4,0,2466,2550,attached,860,0,False,False,True,True,58021,Stevens Crest,,Lake Christinaport,11203,270900.0
2003,1,3,2,0,1835,2115,attached,462,0,True,False,True,True,7429,Bob Fort,,Lake Christinaport,11203,245702.0
1945,1,3,2,0,1748,1865,attached,243,0,False,False,False,False,9573,Christopher Ridge,,Lake Christinaport,11203,86943.0
1985,1,2,1,0,956,954,attached,316,0,False,False,False,False,751,Christopher Ridge,,Lake Christinaport,11203,75597.0
1945,1,1,1,0,477,528,none,0,351,False,False,False,False,3523,Solis Cape,,Lake Christinaport,11203,45994.0
1950,1,1,1,0,499,730,none,0,0,True,False,False,False,58108,Solis Cape,,Lake Christinaport,11203,72453.0
1951,1,1,0,1,242,235,none,0,0,False,False,False,False,58108,Solis Cape,,Lake Christinaport,11203,72447.0
1949,1,2,2,0,1010,1287,detached,237,0,False,False,False,False,698,Bob Fort,,Lake Christinaport,11203,113398.0
1948,1,2,0,1,980,1117,none,0,151,True,False,False,False,69474,Williams River,,Lake Christinaport,11203,12604.0
1993,1,3,1,0,1234,1342,attached,481,0,True,False,True,True,930,Duran Fork,,Lake Christinaport,11203,163799.0
1982,1,2,1,1,1044,1112,none,0,0,False,False,True,True,991,Marisa Forge,3114.0,Lake Christinaport,11203,91982.0
2004,1,3,1,1,1904,2151,attached,715,0,True,False,True,True,27082,Sarah Wall,,Lake Christinaport,11203,207273.0
2004,1,3,1,1,1904,2142,attached,716,0,True,False,True,True,27082,Sarah Wall,,Lake Christinaport,11203,268379.0
2004,1,3,2,1,1843,2224,attached,484,0,True,False,True,True,10676,Mahoney Road,,Lake Christinaport,11203,239397.0
1981,1,3,1,1,1242,1302,attached,461,0,False,False,True,True,50571,Hunt Points,,Lake Christinaport,11203,125997.0
1994,1,3,1,1,1153,1282,attached,436,0,True,False,True,True,1269,Hunt Points,,Lake Christinaport,11203,138602.0
1981,1,4,2,0,1244,1629,attached,458,0,False,False,True,True,7504,Kelly Islands,,Lake Christinaport,11203,144899.0
1989,1,3,2,0,1631,1707,attached,436,0,True,False,True,True,180,Tapia Mews,,Lake Christinaport,11203,211683.0
2002,1,3,2,0,1576,1566,attached,465,0,True,True,True,True,1395,Weaver Shoal,,Lake Christinaport,11203,260824.0
2005,1,3,1,1,1778,2060,attached,438,0,True,False,True,True,25188,Aguilar Causeway,,Lake Christinaport,11203,263967.0
2004,1,3,1,1,1593,1667,attached,438,0,True,False,True,True,6471,Nicole Crest,,Lake Christinaport,11203,226803.0
1981,1,2,1,1,2167,2689,detached,575,0,False,False,True,True,16,Mccall Well,,Lake Christinaport,11203,88203.0
1979,1,2,1,1,2161,2677,detached,578,0,False,False,True,True,16,Mccall Well,,Lake Christinaport,11203,129776.0
1979,1,2,1,1,2160,2681,detached,580,0,False,False,True,True,16,Mccall Well,,Lake Christinaport,11203,161280.0
1980,1,2,2,1,1380,1653,attached,507,0,False,True,True,True,634,Joseph Park,,Lake Christinaport,11203,157502.0
2004,1,3,2,0,2157,2156,attached,535,0,True,False,True,True,74893,Thomas Passage,,Lake Christinaport,11203,277203.0
1991,1,3,1,1,1411,1559,attached,525,0,True,False,True,True,7404,Mcclain Spur,,Lake Christinaport,11203,214202.0
1989,1,3,1,1,1411,1553,attached,424,0,False,False,True,True,234,Dana Bridge,,Lake Christinaport,11203,187739.0
1987,1,3,2,1,2066,2219,attached,424,0,True,True,True,True,225,Tina View,,Lewishaven,11071,346497.0
1985,1,2,1,1,1542,1651,attached,509,0,True,False,True,True,21477,Perry Estates,,Lewishaven,11071,327600.0
1979,1,3,1,1,1394,1793,attached,609,0,False,True,True,True,5932,Michelle Union,,Lewishaven,11071,304293.0
1979,1,3,1,1,1400,1788,attached,608,0,False,True,True,True,651,Michelle Union,,Lewishaven,11071,287279.0
1978,1,2,1,1,1241,1721,attached,503,0,False,True,True,True,36,Michelle Union,,Lewishaven,11071,301139.0
1977,1,3,1,1,1633,1865,attached,570,0,False,True,True,True,2561,Krista River,,Lewishaven,11071,315000.0
1978,1,2,1,1,1232,1597,attached,504,0,False,True,True,True,570,Krista River,,Lewishaven,11071,325079.0
1979,1,2,1,1,1468,1655,attached,524,0,True,True,True,True,40522,Daniel Greens,,Lewishaven,11071,340204.0
1984,1,3,1,1,1401,1565,attached,483,0,True,False,True,True,361,Jones Grove,,Lewishaven,11071,289798.0
1985,1,2,1,1,1373,1951,attached,476,0,False,True,True,True,677,Rogers Street,,Lewishaven,11071,319406.0
1965,1,3,1,1,1730,2330,none,0,326,False,True,True,True,6941,Matthew Points,,Lewishaven,11071,362880.0
1966,1,3,2,1,2046,2038,attached,213,0,False,False,True,True,9764,Matthew Points,,Lewishaven,11071,277201.0
1962,1,3,1,1,1333,1528,none,0,231,False,False,True,True,18169,Angela Center,,Lewishaven,11071,274682.0
1960,1,2,1,1,1067,1493,none,0,243,False,False,True,True,58500,Michelle Streets,,Lewishaven,11071,296101.0
1960,1,2,1,1,1594,2021,none,0,0,False,False,True,True,324,Jimenez Spur,,Lewishaven,11071,283501.0
1960,1,2,1,1,1308,2082,none,0,276,False,False,True,True,72972,Johnson Mountain,,Lewishaven,11071,270902.0
1962,1,3,1,1,1335,1840,none,0,234,False,False,True,True,41292,Frank Vista,,Lewishaven,11071,270897.0
1961,1,2,1,1,1061,1606,attached,279,0,False,False,True,True,7472,Jones Unions,,Lewishaven,11071,243182.0
1961,1,2,1,1,1290,1909,none,0,273,False,False,True,True,8074,Jones Unions,,Lewishaven,11071,251996.0
1973,1,1,1,0,755,856,none,0,0,False,False,False,False,2215,Michelle Streets,2346.0,Lewishaven,11071,113397.0
1974,1,1,1,0,747,849,none,0,0,False,False,False,False,14308,Michelle Streets,2614.0,Lewishaven,11071,113402.0
1962,1,2,1,1,1336,1649,none,0,232,False,True,True,True,4086,Michelle Streets,,Lewishaven,11071,338942.0
1961,1,2,1,1,1050,2144,none,0,0,False,True,True,True,4599,Michelle Streets,,Lewishaven,11071,207902.0
1960,1,2,1,1,1063,1861,attached,271,361,False,True,True,True,279,Frank Vista,,Lewishaven,11071,180177.0
2007,1,2,1,0,1199,1196,none,0,0,False,False,True,True,65913,Kelly Trail,,South Stevenfurt,11270,202226.0
1958,1,3,1,1,1297,1296,none,0,417,True,False,True,True,133,Davis Burgs,,South Stevenfurt,11270,409500.0
2007,1,4,2,0,2230,2447,none,0,0,False,False,True,True,186,Knight Loop,,South Stevenfurt,11270,277196.0
1983,1,3,2,0,1900,1908,none,0,0,False,False,True,False,65133,Wilson Via,,South Stevenfurt,11270,230576.0
1988,2,2,2,1,2250,2247,none,0,0,True,True,True,True,1510,Gary Extension,,South Stevenfurt,11270,850502.0
1990,2,1,1,1,1114,1250,attached,1111,0,False,False,False,False,1510,Gary Extension,,South Stevenfurt,11270,850497.0
2015,1,4,3,1,5489,6574,attached,1019,0,True,False,True,True,24346,Kimberly Mount,,Richardport,11619,1196998.0
2008,1,4,3,1,4096,4607,attached,748,0,True,True,True,True,941,Baldwin Brooks,,Richardport,11619,2381399.0
2006,1,4,3,1,3762,4256,attached,660,0,True,True,True,True,33828,Murray Dale,,Richardport,11619,1644296.0
2006,1,4,3,1,4301,5078,attached,802,0,True,True,True,True,498,Kenneth Place,,Richardport,11619,2457004.0
2005,1,3,3,0,2790,3049,attached,499,0,True,True,True,True,742,Rodriguez Estate,,West Ann,10748,806400.0
1998,1,2,1,1,1785,1891,attached,446,0,True,False,True,True,888,Linda Wall,,Lewishaven,11071,376743.0
2003,1,3,2,0,1840,2025,attached,434,0,True,False,True,True,7905,Hughes Terrace,,Lewishaven,11071,396897.0
1986,1,1,1,1,1234,1538,attached,443,0,True,False,True,True,22408,Adam Brooks,,Lewishaven,11071,327604.0
1988,1,2,1,1,1010,1024,none,0,0,False,False,True,True,57139,Martinez Manor,2823.0,Lewishaven,11071,214201.0
1997,1,3,2,1,2549,2546,attached,677,0,True,True,True,True,68774,Rachel Courts,,Richardport,11619,881996.0
1988,1,3,2,0,1620,1626,attached,438,0,True,True,True,True,31352,Jones Grove,,Richardport,11619,498327.0
1988,1,2,2,1,2859,3252,attached,566,0,True,True,True,True,728,Kristen Inlet,,Richardport,11619,787498.0
1985,1,2,3,1,2859,2967,attached,633,0,True,False,True,True,392,Kristina Stream,,Richardport,11619,472498.0
1979,1,3,2,1,2809,3394,detached,684,0,True,False,True,True,2871,Kristina Stream,,Richardport,11619,565744.0
1981,1,3,3,1,3011,3528,attached,833,0,True,False,True,True,330,Rachael Drives,,Richardport,11619,667800.0
1979,1,3,2,0,2117,2852,attached,592,0,True,True,True,True,5538,Hoover Glen,,Richardport,11619,587156.0
1988,1,2,3,0,3566,4292,attached,706,0,True,True,True,True,56682,Stephanie Pines,,Richardport,11619,1071001.0
1972,1,3,2,1,2248,3054,detached,593,0,False,False,True,True,622,Lindsay Knoll,,Richardport,11619,529199.0
1977,1,3,2,1,2428,3048,attached,673,0,True,True,True,True,96308,Sabrina Causeway,,Richardport,11619,1322997.0
1963,1,3,2,1,1792,2692,attached,346,0,False,False,True,True,1096,Keith Rapids,,Richardport,11619,326337.0
1969,1,3,2,1,2286,3059,none,0,0,False,False,True,True,2661,Traci Orchard,,Richardport,11619,560699.0
1968,1,3,2,1,2283,3058,none,0,0,False,False,True,True,119,Simpson Parkway,,Richardport,11619,573297.0
1969,1,2,1,1,1903,2396,none,0,0,False,False,True,True,5067,Anita Mount,,Richardport,11619,478803.0
1980,1,4,3,1,2728,3228,attached,573,0,True,True,True,True,4873,Cheryl Land,,Richardport,11619,845464.0
1963,1,4,2,1,2686,3913,attached,480,0,True,True,True,True,87793,Jessica Mountains,,Richardport,11619,554399.0
1965,1,3,2,0,1885,2253,attached,463,0,True,True,True,True,8390,Herbert Prairie,,Richardport,11619,680396.0
1979,1,3,3,0,4252,4819,attached,482,0,True,True,True,True,86790,King Way,,Richardport,11619,932398.0
2006,1,4,2,1,3586,4092,attached,793,0,True,False,True,True,434,Karen Center,,Richardport,11619,1102497.0
2002,1,4,3,1,5394,6232,attached,1051,0,True,True,True,True,62540,Patricia Mall,,Lewishaven,11071,3213000.0
2007,1,4,3,1,2926,3198,attached,880,0,False,False,True,True,36,Brandy Oval,,Coletown,10130,605427.0
1998,1,3,3,0,2430,2637,attached,561,0,True,True,True,True,1209,Mike Grove,,Lewishaven,11071,944998.0
1998,1,5,3,1,2900,3102,attached,456,0,True,True,True,True,16216,Kara Mall,,Lewishaven,11071,631261.0
1997,1,4,2,1,2595,2806,attached,557,0,True,True,True,True,47458,Kara Mall,,Lewishaven,11071,466198.0
1997,1,4,2,1,2595,2796,attached,557,0,True,True,True,True,156,Stephanie Cliff,,Lewishaven,11071,579597.0
1993,1,3,3,0,2188,2182,detached,533,0,True,False,True,True,1836,Nielsen Terrace,,Lewishaven,11071,881999.0
1994,1,3,1,1,1902,1898,detached,510,0,True,False,True,True,77203,Kristine Manor,,Lewishaven,11071,894602.0
1992,1,3,4,0,2645,2644,detached,535,0,True,False,True,True,64781,Kristine Manor,,Lewishaven,11071,818997.0
1985,1,2,2,0,960,964,detached,442,0,False,False,True,True,424,Cristian Trace,,Lewishaven,11071,175137.0
1983,1,2,1,1,1524,1518,attached,423,0,True,False,True,True,7554,Gardner Stream,,Lewishaven,11071,409499.0
1983,1,3,2,0,2238,2428,attached,835,0,True,False,True,True,468,Dean Center,,Lewishaven,11071,522323.7
1982,1,1,1,1,1656,1681,attached,457,0,True,False,True,True,3684,Holmes Lodge,,Lewishaven,11071,326338.0
1983,1,2,1,1,1368,1370,attached,418,0,False,False,True,True,800,Holmes Lodge,,Lewishaven,11071,289799.0
1985,1,2,3,0,2186,2283,attached,483,0,True,False,True,True,5876,Mitchell Ferry,,Lewishaven,11071,296096.0
1982,1,2,3,0,2180,2284,attached,480,0,True,False,True,True,95,Angela Valleys,1947.0,Lewishaven,11071,340198.0
1982,1,5,4,0,3206,3793,attached,676,0,True,False,True,True,159,Padilla Avenue,2500.0,Lewishaven,11071,894603.0
1990,1,2,1,1,1090,1269,attached,264,0,True,False,True,True,80,Frank Vista,,Lewishaven,11071,283498.0
1988,1,2,1,1,1365,1724,attached,415,0,True,False,True,True,94534,Krystal Radial,,Lewishaven,11071,315001.0
